pharmacy_id,sku,drug_name,form,strength,price,qty,qty_available
ph0093,OTC022,Omeprazole,Cream,100ml,108.43,81.0,
ph0093,OTC015,Paracetamol,Syrup,24 count,109.92,14.0,
ph0093,OTC030,Guaifenesin,Drops,65mg,34.15,46.0,
ph0093,OTC003,Iron Supplement,Tablet,250mg,34.0,161.0,
ph0093,OTC008,Dextromethorphan,Lozenge,24 count,119.42,74.0,
ph0093,OTC027,Zinc Supplement,Spray,65mg,99.68,136.0,
ph0093,OTC009,Phenylephrine,Ointment,100ml,139.45,144.0,
ph0093,OTC011,Diphenhydramine,Tablet,65mg,53.42,125.0,
ph0069,OTC010,Paracetamol,Solution,20mg,82.54,24.0,
ph0069,OTC021,Antacid Tablets,Capsule,30mg,50.4,155.0,
ph0069,OTC014,Electrolyte Solution,Tablet,325mg,146.64,35.0,
ph0069,OTC027,Chlorpheniramine,Lozenge,15g,49.82,92.0,
ph0069,OTC009,Calcium Supplement,Lozenge,250mg,109.16,83.0,
ph0069,OTC029,Acetaminophen,Solution,500mg,76.42,162.0,
ph0069,OTC005,Dextromethorphan,Drops,325mg,36.67,82.0,
ph0069,OTC023,Cough Syrup,Capsule,15g,52.09,58.0,
ph0069,OTC006,Multivitamin,Tablet,750mg,55.64,15.0,
ph0069,OTC018,Pseudoephedrine,Tablet,15g,9.55,115.0,
ph0069,OTC011,Zinc Supplement,Capsule,1%,86.93,155.0,
ph0069,OTC025,Hydrocortisone Cream,Drops,100ml,103.83,51.0,
ph0069,OTC019,Phenylephrine,Cream,325mg,110.76,21.0,
ph0069,OTC002,Throat Lozenges,Ointment,250mg,93.42,37.0,
ph0069,OTC013,Diphenhydramine,Tablet,1%,92.17,14.0,
ph0054,OTC011,Multivitamin,Drops,200mg,20.35,159.0,
ph0054,OTC030,Electrolyte Solution,Syrup,1%,127.29,84.0,
ph0054,OTC016,Saline Nasal Spray,Cream,10mg,7.82,174.0,
ph0054,OTC024,Guaifenesin,Solution,100ml,16.87,190.0,
ph0054,OTC026,Eye Drops,Tablet,10mg,124.83,130.0,
ph0054,OTC019,Acetaminophen,Ointment,10mg,28.6,15.0,
ph0054,OTC009,Magnesium Supplement,Solution,24 count,16.46,142.0,
ph0054,OTC001,Throat Lozenges,Syrup,500mg,66.37,111.0,
ph0054,OTC028,Probiotic,Capsule,325mg,66.47,98.0,
ph0054,OTC021,Pseudoephedrine,Spray,65mg,90.59,43.0,
ph0054,OTC003,Chlorpheniramine,Lozenge,750mg,90.88,148.0,
ph0054,OTC018,Aspirin,Tablet,24 count,32.14,166.0,
ph0054,OTC004,Antacid Tablets,Capsule,10mg,11.6,97.0,
ph0054,OTC029,Dextromethorphan,Capsule,30mg,121.64,83.0,
ph0054,OTC017,Phenylephrine,Capsule,100ml,102.96,163.0,
ph0009,OTC008,Omeprazole,Cream,325mg,91.37,101.0,
ph0009,OTC001,Calcium Supplement,Syrup,10mg,82.29,14.0,
ph0009,OTC028,Electrolyte Solution,Drops,250mg,95.62,159.0,
ph0009,OTC016,Dextromethorphan,Lozenge,65mg,128.49,136.0,
ph0009,OTC005,Melatonin,Capsule,100ml,40.13,168.0,
ph0009,OTC004,Phenylephrine,Drops,24 count,45.72,111.0,
ph0009,OTC009,Diphenhydramine,Spray,65mg,132.15,12.0,
ph0009,OTC014,Cough Syrup,Solution,20mg,56.74,69.0,
ph0009,OTC010,Antibiotic Ointment,Tablet,200mg,76.25,93.0,
ph0009,OTC011,Chlorpheniramine,Capsule,250mg,144.34,131.0,
ph0009,OTC003,Throat Lozenges,Solution,200mg,39.41,170.0,
ph0009,OTC018,Pseudoephedrine,Drops,30mg,24.95,187.0,
ph0009,OTC012,Paracetamol,Ointment,750mg,73.5,134.0,
ph0009,OTC013,Cetirizine,Drops,65mg,92.87,65.0,
ph0009,OTC024,Aspirin,Cream,500mg,58.59,131.0,
ph0033,OTC019,Pseudoephedrine,Solution,750mg,76.14,26.0,
ph0033,OTC027,Cetirizine,Solution,30mg,64.58,53.0,
ph0033,OTC028,Diphenhydramine,Spray,65mg,97.3,117.0,
ph0033,OTC017,Calcium Supplement,Cream,750mg,141.56,20.0,
ph0033,OTC021,Iron Supplement,Syrup,200mg,106.29,76.0,
ph0033,OTC013,Saline Nasal Spray,Tablet,100ml,52.02,36.0,
ph0033,OTC026,Guaifenesin,Spray,750mg,56.0,183.0,
ph0033,OTC024,Throat Lozenges,Lozenge,250mg,45.84,10.0,
ph0033,OTC016,Phenylephrine,Cream,500mg,126.94,122.0,
ph0033,OTC022,Zinc Supplement,Syrup,200mg,94.23,90.0,
ph0033,OTC018,Melatonin,Ointment,1%,96.72,0.0,
ph0033,OTC012,Dextromethorphan,Capsule,250mg,7.13,167.0,
ph0033,OTC005,Aspirin,Lozenge,65mg,30.64,172.0,
ph0033,OTC030,Omeprazole,Lozenge,20mg,109.06,154.0,
ph0033,OTC009,Antacid Tablets,Syrup,15g,110.56,81.0,
ph0025,OTC016,Zinc Supplement,Ointment,24 count,26.88,50.0,
ph0025,OTC029,Antacid Tablets,Drops,65mg,95.33,77.0,
ph0025,OTC012,Throat Lozenges,Solution,100ml,137.77,131.0,
ph0025,OTC023,Naproxen,Capsule,750mg,77.09,114.0,
ph0025,OTC009,Multivitamin,Tablet,10mg,59.04,171.0,
ph0025,OTC010,Guaifenesin,Lozenge,20mg,74.9,178.0,
ph0025,OTC004,Hydrocortisone Cream,Drops,15g,111.59,78.0,
ph0025,OTC022,Cetirizine,Spray,200mg,143.75,145.0,
ph0025,OTC027,Paracetamol,Syrup,200mg,31.62,76.0,
ph0025,OTC008,Phenylephrine,Capsule,65mg,103.9,22.0,
ph0025,OTC020,Ibuprofen,Lozenge,250mg,23.45,111.0,
ph0025,OTC003,Pseudoephedrine,Drops,200mg,73.86,131.0,
ph0025,OTC002,Aspirin,Ointment,30mg,105.96,90.0,
ph0025,OTC014,Iron Supplement,Drops,325mg,91.07,87.0,
ph0025,OTC018,Acetaminophen,Ointment,250mg,111.58,135.0,
ph0047,OTC021,Chlorpheniramine,Syrup,200mg,85.51,161.0,
ph0047,OTC017,Loratadine,Lozenge,200mg,69.98,0.0,
ph0047,OTC029,Aspirin,Drops,500mg,5.9,27.0,
ph0047,OTC009,Eye Drops,Cream,200mg,51.54,129.0,
ph0047,OTC013,Throat Lozenges,Syrup,500mg,146.0,76.0,
ph0047,OTC024,Iron Supplement,Ointment,30mg,139.18,136.0,
ph0047,OTC014,Antibiotic Ointment,Tablet,10mg,43.86,69.0,
ph0047,OTC010,Pseudoephedrine,Spray,750mg,98.68,102.0,
ph0047,OTC025,Cough Syrup,Drops,1%,115.45,67.0,
ph0047,OTC003,Vitamin C,Drops,250mg,78.49,129.0,
ph0047,OTC022,Magnesium Supplement,Capsule,750mg,92.68,91.0,
ph0047,OTC005,Phenylephrine,Cream,30mg,33.17,84.0,
ph0047,OTC001,Paracetamol,Ointment,500mg,60.3,15.0,
ph0047,OTC006,Cetirizine,Lozenge,24 count,81.9,127.0,
ph0047,OTC007,Diphenhydramine,Capsule,65mg,114.76,65.0,
ph0011,OTC017,Calcium Supplement,Syrup,200mg,79.68,193.0,
ph0011,OTC007,Dextromethorphan,Solution,20mg,113.48,44.0,
ph0011,OTC021,Melatonin,Cream,30mg,131.67,54.0,
ph0011,OTC027,Zinc Supplement,Syrup,20mg,118.43,155.0,
ph0011,OTC012,Magnesium Supplement,Cream,250mg,68.38,5.0,
ph0011,OTC001,Multivitamin,Capsule,750mg,37.39,30.0,
ph0011,OTC003,Pseudoephedrine,Spray,20mg,148.4,155.0,
ph0011,OTC008,Paracetamol,Lozenge,100ml,52.82,74.0,
ph0011,OTC030,Acetaminophen,Ointment,250mg,136.18,122.0,
ph0011,OTC005,Hydrocortisone Cream,Lozenge,10mg,5.0,126.0,
ph0011,OTC010,Antacid Tablets,Ointment,100ml,108.93,106.0,
ph0011,OTC011,Naproxen,Tablet,30mg,63.91,13.0,
ph0011,OTC006,Throat Lozenges,Ointment,20mg,10.07,108.0,
ph0011,OTC004,Eye Drops,Cream,500mg,90.21,190.0,
ph0011,OTC014,Saline Nasal Spray,Ointment,65mg,126.12,142.0,
ph0058,OTC026,Multivitamin,Solution,200mg,142.65,163.0,
ph0058,OTC012,Paracetamol,Ointment,24 count,34.13,96.0,
ph0058,OTC030,Diphenhydramine,Ointment,20mg,8.18,39.0,
ph0058,OTC023,Zinc Supplement,Cream,20mg,6.79,137.0,
ph0058,OTC029,Ibuprofen,Ointment,200mg,87.1,13.0,
ph0058,OTC018,Loratadine,Syrup,1%,96.06,155.0,
ph0058,OTC017,Electrolyte Solution,Spray,30mg,108.01,62.0,
ph0058,OTC019,Calcium Supplement,Solution,500mg,144.46,36.0,
ph0058,OTC022,Chlorpheniramine,Syrup,250mg,94.1,130.0,
ph0058,OTC013,Iron Supplement,Tablet,20mg,103.58,164.0,
ph0058,OTC025,Omeprazole,Cream,10mg,72.68,186.0,
ph0058,OTC028,Antibiotic Ointment,Spray,250mg,137.21,18.0,
ph0058,OTC020,Hydrocortisone Cream,Lozenge,750mg,142.88,196.0,
ph0058,OTC003,Phenylephrine,Spray,200mg,88.98,175.0,
ph0058,OTC027,Magnesium Supplement,Syrup,20mg,21.97,182.0,
ph0067,OTC024,Ibuprofen,Spray,100ml,125.38,32.0,
ph0067,OTC021,Cetirizine,Solution,325mg,129.53,121.0,
ph0067,OTC020,Magnesium Supplement,Syrup,10mg,145.48,116.0,
ph0067,OTC013,Acetaminophen,Syrup,100ml,110.01,198.0,
ph0067,OTC010,Saline Nasal Spray,Capsule,500mg,39.37,100.0,
ph0067,OTC002,Paracetamol,Spray,200mg,132.41,130.0,
ph0067,OTC017,Throat Lozenges,Spray,24 count,78.53,88.0,
ph0067,OTC029,Iron Supplement,Spray,10mg,118.83,53.0,
ph0067,OTC014,Guaifenesin,Capsule,15g,144.81,185.0,
ph0067,OTC030,Omeprazole,Spray,20mg,139.73,142.0,
ph0067,OTC023,Phenylephrine,Drops,500mg,97.26,57.0,
ph0067,OTC015,Cough Syrup,Drops,10mg,79.85,73.0,
ph0067,OTC022,Diphenhydramine,Lozenge,200mg,92.65,6.0,
ph0067,OTC028,Melatonin,Spray,200mg,84.31,103.0,
ph0067,OTC006,Electrolyte Solution,Spray,750mg,26.63,94.0,
ph0020,OTC007,Pseudoephedrine,Tablet,500mg,141.5,43.0,
ph0020,OTC029,Electrolyte Solution,Syrup,15g,25.84,84.0,
ph0020,OTC008,Paracetamol,Ointment,750mg,148.69,168.0,
ph0020,OTC014,Phenylephrine,Capsule,1%,29.61,76.0,
ph0020,OTC005,Aspirin,Capsule,65mg,144.29,154.0,
ph0020,OTC003,Magnesium Supplement,Solution,65mg,33.19,152.0,
ph0020,OTC011,Saline Nasal Spray,Tablet,100ml,110.06,110.0,
ph0020,OTC024,Chlorpheniramine,Tablet,24 count,94.56,113.0,
ph0020,OTC025,Loratadine,Tablet,100ml,53.14,154.0,
ph0020,OTC001,Ibuprofen,Ointment,1%,117.15,158.0,
ph0020,OTC027,Iron Supplement,Cream,750mg,130.41,110.0,
ph0020,OTC015,Acetaminophen,Syrup,1%,61.95,151.0,
ph0020,OTC019,Zinc Supplement,Ointment,1%,58.83,161.0,
ph0020,OTC018,Melatonin,Syrup,325mg,55.45,192.0,
ph0020,OTC010,Omeprazole,Cream,500mg,57.57,118.0,
ph0021,OTC013,Hydrocortisone Cream,Drops,100ml,147.53,24.0,
ph0021,OTC027,Phenylephrine,Lozenge,24 count,83.28,112.0,
ph0021,OTC018,Antibiotic Ointment,Syrup,20mg,21.28,91.0,
ph0021,OTC025,Eye Drops,Capsule,20mg,109.77,0.0,
ph0021,OTC006,Pseudoephedrine,Drops,65mg,66.92,100.0,
ph0021,OTC016,Dextromethorphan,Cream,1%,102.87,169.0,
ph0021,OTC005,Saline Nasal Spray,Syrup,100ml,32.18,153.0,
ph0021,OTC021,Cough Syrup,Capsule,200mg,143.48,99.0,
ph0021,OTC008,Chlorpheniramine,Tablet,10mg,118.03,192.0,
ph0021,OTC011,Antacid Tablets,Solution,30mg,9.64,68.0,
ph0021,OTC007,Loratadine,Cream,250mg,99.88,50.0,
ph0021,OTC003,Magnesium Supplement,Solution,20mg,61.34,129.0,
ph0021,OTC004,Zinc Supplement,Syrup,200mg,86.89,57.0,
ph0021,OTC010,Diphenhydramine,Cream,15g,110.3,70.0,
ph0021,OTC014,Melatonin,Ointment,325mg,116.39,75.0,
ph0022,OTC007,Antacid Tablets,Drops,250mg,24.86,50.0,
ph0022,OTC021,Aspirin,Drops,24 count,17.24,157.0,
ph0022,OTC011,Calcium Supplement,Cream,200mg,59.45,89.0,
ph0022,OTC013,Vitamin C,Tablet,1%,87.06,165.0,
ph0022,OTC006,Guaifenesin,Lozenge,24 count,92.53,119.0,
ph0022,OTC003,Throat Lozenges,Tablet,200mg,28.66,173.0,
ph0022,OTC001,Dextromethorphan,Solution,20mg,69.65,16.0,
ph0022,OTC017,Pseudoephedrine,Solution,325mg,111.04,134.0,
ph0022,OTC022,Hydrocortisone Cream,Tablet,100ml,145.39,135.0,
ph0022,OTC015,Loratadine,Lozenge,500mg,80.4,138.0,
ph0022,OTC004,Paracetamol,Tablet,750mg,41.17,69.0,
ph0022,OTC029,Antibiotic Ointment,Lozenge,24 count,81.82,132.0,
ph0022,OTC016,Eye Drops,Capsule,500mg,61.11,190.0,
ph0022,OTC024,Phenylephrine,Solution,24 count,129.3,106.0,
ph0022,OTC023,Diphenhydramine,Tablet,100ml,73.51,62.0,
ph0041,OTC014,Paracetamol,Capsule,15g,96.17,48.0,
ph0041,OTC020,Electrolyte Solution,Tablet,200mg,39.54,26.0,
ph0041,OTC012,Dextromethorphan,Drops,20mg,147.13,104.0,
ph0041,OTC011,Cetirizine,Cream,100ml,127.6,78.0,
ph0041,OTC018,Ibuprofen,Spray,250mg,47.24,187.0,
ph0041,OTC007,Pseudoephedrine,Drops,30mg,99.62,133.0,
ph0041,OTC009,Antacid Tablets,Cream,10mg,54.84,8.0,
ph0041,OTC016,Vitamin C,Cream,15g,27.28,66.0,
ph0041,OTC006,Cough Syrup,Lozenge,15g,86.62,47.0,
ph0041,OTC021,Phenylephrine,Tablet,500mg,40.15,19.0,
ph0041,OTC022,Chlorpheniramine,Solution,10mg,49.15,19.0,
ph0041,OTC008,Guaifenesin,Lozenge,500mg,11.78,136.0,
ph0041,OTC010,Loratadine,Ointment,15g,88.62,143.0,
ph0041,OTC017,Hydrocortisone Cream,Tablet,200mg,81.27,22.0,
ph0041,OTC024,Acetaminophen,Ointment,500mg,101.96,26.0,
ph0027,OTC022,Loratadine,Ointment,20mg,11.56,176.0,
ph0027,OTC016,Saline Nasal Spray,Ointment,24 count,8.95,32.0,
ph0027,OTC005,Pseudoephedrine,Syrup,100ml,77.02,161.0,
ph0027,OTC018,Paracetamol,Tablet,500mg,72.02,15.0,
ph0027,OTC011,Calcium Supplement,Solution,15g,125.17,97.0,
ph0027,OTC023,Throat Lozenges,Spray,1%,147.28,32.0,
ph0027,OTC014,Antacid Tablets,Ointment,750mg,47.19,5.0,
ph0027,OTC030,Diphenhydramine,Ointment,65mg,77.58,83.0,
ph0027,OTC028,Magnesium Supplement,Syrup,1%,122.98,184.0,
ph0027,OTC025,Dextromethorphan,Solution,750mg,58.78,111.0,
ph0027,OTC017,Iron Supplement,Solution,750mg,129.11,53.0,
ph0027,OTC026,Acetaminophen,Syrup,750mg,118.95,33.0,
ph0027,OTC029,Phenylephrine,Capsule,325mg,71.43,191.0,
ph0027,OTC021,Cetirizine,Tablet,65mg,122.53,65.0,
ph0027,OTC015,Antibiotic Ointment,Tablet,10mg,110.37,93.0,
ph0048,OTC030,Aspirin,Spray,750mg,96.13,51.0,
ph0048,OTC011,Cetirizine,Capsule,500mg,11.96,74.0,
ph0048,OTC027,Diphenhydramine,Lozenge,65mg,146.35,139.0,
ph0048,OTC022,Iron Supplement,Lozenge,325mg,45.17,70.0,
ph0048,OTC010,Zinc Supplement,Drops,750mg,123.9,163.0,
ph0048,OTC020,Throat Lozenges,Lozenge,1%,123.32,130.0,
ph0048,OTC025,Acetaminophen,Ointment,750mg,138.54,20.0,
ph0048,OTC012,Melatonin,Ointment,250mg,60.82,172.0,
ph0048,OTC004,Pseudoephedrine,Spray,200mg,96.82,16.0,
ph0048,OTC024,Guaifenesin,Cream,500mg,105.08,82.0,
ph0048,OTC028,Saline Nasal Spray,Syrup,200mg,68.78,44.0,
ph0048,OTC002,Dextromethorphan,Solution,500mg,92.6,14.0,
